FORMATTED_BATCH_ID,SUPPLIER,SUPPLIER_REF,WELL_REF,BARCODE,Starting Concentration,Concentration Range
CBP-0016953-03,P3_Prestwick,Prestw-52,G04,B006,0,A
CBP-0016955-06,P3_Prestwick,Prestw-19,E02,B006,0,A
CBP-0016960-04,P3_Prestwick,Prestw-121,I08,B006,0,A
CBP-0016966-03,P3_Prestwick,Prestw-475,M08,B007,0,A
CBP-0016968-04,P3_Prestwick,Prestw-657,A20,B007,0,A
CBP-0016971-04,P3_Prestwick,Prestw-336,P21,B006,0,A
CBP-0016974-04,P3_Prestwick,Prestw-1206,M05,B009,0,A
CBP-0016975-03,P3_Prestwick,Prestw-880,P11,B008,0,A
CBP-0016977-03,P3_Prestwick,Prestw-163,E11,B006,0,A
CBP-0016980-05,P3_Prestwick,Prestw-7,F01,B006,0,A
CBP-0016983-03,P3_Prestwick,Prestw-719,N01,B008,0,A
CBP-0016985-05,P3_Prestwick,Prestw-26,K02,B006,0,A
CBP-0016987-03,P3_Prestwick,Prestw-445,J06,B007,0,A
CBP-0016989-04,P3_Prestwick,Prestw-387,E03,B007,0,A
CBP-0016990-03,P3_Prestwick,Prestw-276,G18,B006,0,A
CBP-0017002-04,P3_Prestwick,Prestw-368,P01,B007,0,A
CBP-0017009-04,P3_Prestwick,Prestw-104,H07,B006,0,A
CBP-0017014-04,P3_Prestwick,Prestw-352,P22,B006,0,A
CBP-0017015-05,P3_Prestwick,Prestw-312,H20,B006,0,A
CBP-0017018-03,P3_Prestwick,Prestw-968,H17,B008,0,A
CBP-0017021-05,P3_Prestwick,Prestw-180,G12,B006,0,A
CBP-0017025-03,P3_Prestwick,Prestw-393,I03,B007,0,A
CBP-0017030-04,P3_Prestwick,Prestw-386,C03,B007,0,A
CBP-0017039-04,P3_Prestwick,Prestw-1102,L03,B009,0,A
CBP-0017042-03,P3_Prestwick,Prestw-478,L08,B007,0,A
CBP-0017044-05,P3_Prestwick,Prestw-906,K13,B008,0,A
CBP-0017052-04,P3_Prestwick,Prestw-511,N10,B007,0,A
CBP-0017057-04,P3_Prestwick,Prestw-340,G22,B006,0,A
CBP-0017059-03,P3_Prestwick,Prestw-931,E15,B008,0,A
CBP-0017060-04,P3_Prestwick,Prestw-1286,D08,B009,0,A
CBP-0017069-05,P3_Prestwick,Prestw-134,D09,B006,0,A
CBP-0017072-05,P3_Prestwick,Prestw-316,O20,B006,0,A
CBP-0017076-04,P3_Prestwick,Prestw-339,E22,B006,0,A
CBP-0017079-04,P3_Prestwick,Prestw-65,A05,B006,0,A
CBP-0017079-05,P3_Prestwick,Prestw-265,I17,B006,0,A
CBP-0017080-03,P3_Prestwick,Prestw-839,F09,B008,0,A
CBP-0017099-04,P3_Prestwick,Prestw-911,N13,B008,0,A
CBP-0017102-03,P3_Prestwick,Prestw-388,G03,B007,0,A
CBP-0017104-03,P3_Prestwick,Prestw-27,M02,B006,0,A
CBP-0017110-03,P3_Prestwick,Prestw-157,J10,B006,0,A
CBP-0017118-03,P3_Prestwick,Prestw-311,F20,B006,0,A
CBP-0017120-03,P3_Prestwick,Prestw-749,J03,B008,0,A
CBP-0017123-03,P3_Prestwick,Prestw-500,G10,B007,0,A
CBP-0017127-03,P3_Prestwick,Prestw-231,F15,B006,0,A
CBP-0017131-03,P3_Prestwick,Prestw-263,F17,B006,0,A
CBP-0017138-04,P3_Prestwick,Prestw-96,P06,B006,0,A
CBP-0017141-04,P3_Prestwick,Prestw-131,E09,B006,0,A
CBP-0017147-04,P3_Prestwick,Prestw-926,L14,B008,0,A
CBP-0017151-03,P3_Prestwick,Prestw-1097,I03,B009,0,A
CBP-0017155-03,P3_Prestwick,Prestw-72,H05,B006,0,A
CBP-0017163-03,P3_Prestwick,Prestw-861,J10,B008,0,A
CBP-0017164-03,P3_Prestwick,Prestw-1037,J21,B008,0,A
CBP-0017171-04,P3_Prestwick,Prestw-38,D03,B006,0,A
CBP-0017175-03,P3_Prestwick,Prestw-176,P11,B006,0,A
CBP-0017178-03,P3_Prestwick,Prestw-83,E06,B006,0,A
CBP-0017184-05,P3_Prestwick,Prestw-740,G03,B008,0,A
CBP-0017189-04,P3_Prestwick,Prestw-266,K17,B006,0,A
CBP-0017191-03,P3_Prestwick,Prestw-753,A04,B008,0,A
CBP-0017192-04,P3_Prestwick,Prestw-115,E08,B006,0,A
CBP-0017193-03,P3_Prestwick,Prestw-941,J15,B008,0,A
CBP-0017203-03,P3_Prestwick,Prestw-490,K09,B007,0,A
CBP-0017205-03,P3_Prestwick,Prestw-907,M13,B008,0,A
CBP-0017210-03,P3_Prestwick,Prestw-1480,A09,B009,0,A
CBP-0017211-04,P3_Prestwick,Prestw-1602,K17,B008,0,A
CBP-0017212-03,P3_Prestwick,Prestw-165,B11,B006,0,A
CBP-0017221-03,P3_Prestwick,Prestw-48,P03,B006,0,A
CBP-0017222-05,P3_Prestwick,Prestw-447,N06,B007,0,A
CBP-0017230-03,P3_Prestwick,Prestw-566,D14,B007,0,A
CBP-0017234-06,P3_Prestwick,Prestw-441,I06,B007,0,A
CBP-0017236-06,P3_Prestwick,Prestw-914,C14,B008,0,A
CBP-0017253-03,P3_Prestwick,Prestw-1700,D13,B009,0,A
CBP-0017267-04,P3_Prestwick,Prestw-389,B03,B007,0,A
CBP-0017269-03,P3_Prestwick,Prestw-929,A15,B008,0,A
CBP-0017270-03,P3_Prestwick,Prestw-1711,E11,B009,0,A
CBP-0017271-03,P3_Prestwick,Prestw-219,M14,B006,0,A
CBP-0017274-03,P3_Prestwick,Prestw-282,K18,B006,0,A
CBP-0017275-04,P3_Prestwick,Prestw-371,E02,B007,0,A
CBP-0017278-05,P3_Prestwick,Prestw-87,F06,B006,0,A
CBP-0017282-04,P3_Prestwick,Prestw-291,E19,B006,0,A
CBP-0017283-03,P3_Prestwick,Prestw-1398,D06,B009,0,A
CBP-0017288-03,P3_Prestwick,Prestw-17,A02,B006,0,A
CBP-0017290-04,P3_Prestwick,Prestw-142,L09,B006,0,A
CBP-0017292-03,P3_Prestwick,Prestw-858,K10,B008,0,A
CBP-0017296-04,P3_Prestwick,Prestw-995,E19,B008,0,A
CBP-0017303-03,P3_Prestwick,Prestw-277,B18,B006,0,A
CBP-0017308-03,P3_Prestwick,Prestw-320,P20,B006,0,A
CBP-0017310-04,P3_Prestwick,Prestw-1399,E05,B009,0,A
CBP-0017318-04,P3_Prestwick,Prestw-481,A09,B007,0,A
CBP-0017324-03,P3_Prestwick,Prestw-275,E18,B006,0,A
CBP-0017326-03,P3_Prestwick,Prestw-213,B14,B006,0,A
CBP-0017331-03,P3_Prestwick,Prestw-238,L15,B006,0,A
CBP-0017333-03,P3_Prestwick,Prestw-1492,H07,B009,0,A
CBP-0017334-06,P3_Prestwick,Prestw-1203,N06,B009,0,A
CBP-0017336-05,P3_Prestwick,Prestw-735,N02,B008,0,A
CBP-0017337-06,P3_Prestwick,Prestw-144,P09,B006,0,A
CBP-0017338-03,P3_Prestwick,Prestw-1713,G12,B009,0,A
CBP-0017340-04,P3_Prestwick,Prestw-772,G05,B008,0,A
CBP-0017341-06,P3_Prestwick,Prestw-916,G14,B008,0,A
CBP-0017343-06,P3_Prestwick,Prestw-918,D14,B008,0,A
CBP-0017344-04,P3_Prestwick,Prestw-50,C04,B006,0,A
CBP-0017345-04,P3_Prestwick,Prestw-910,L13,B008,0,A
CBP-0017347-03,P3_Prestwick,Prestw-1454,G10,B008,0,A
CBP-0017352-04,P3_Prestwick,Prestw-1072,P01,B009,0,A
CBP-0017353-04,P3_Prestwick,Prestw-975,N17,B008,0,A
CBP-0017357-03,P3_Prestwick,Prestw-129,A09,B006,0,A
CBP-0017361-04,P3_Prestwick,Prestw-230,D15,B006,0,A
CBP-0017369-03,P3_Prestwick,Prestw-183,F12,B006,0,A
CBP-0017377-04,P3_Prestwick,Prestw-1432,H20,B007,0,A
CBP-0017379-04,P3_Prestwick,Prestw-182,D12,B006,0,A
CBP-0017382-04,P3_Prestwick,Prestw-949,B16,B008,0,A
CBP-0017385-03,P3_Prestwick,Prestw-132,G09,B006,0,A
CBP-0017386-03,P3_Prestwick,Prestw-193,A13,B006,0,A
CBP-0017387-07,P3_Prestwick,Prestw-299,M19,B006,0,A
CBP-0017394-03,P3_Prestwick,Prestw-1310,L18,B008,0,A
CBP-0017395-03,P3_Prestwick,Prestw-1111,F04,B009,0,A
CBP-0017396-03,P3_Prestwick,Prestw-119,F08,B006,0,A
CBP-0017397-03,P3_Prestwick,Prestw-342,D22,B006,0,A
CBP-0017399-04,P3_Prestwick,Prestw-978,C18,B008,0,A
CBP-0017400-04,P3_Prestwick,Prestw-1081,I02,B009,0,A
CBP-0017405-03,P3_Prestwick,Prestw-915,E14,B008,0,A
CBP-0017408-04,P3_Prestwick,Prestw-224,P14,B006,0,A
CBP-0017412-03,P3_Prestwick,Prestw-287,N18,B006,0,A
CBP-0017422-03,P3_Prestwick,Prestw-930,C15,B008,0,A
CBP-0017424-04,P3_Prestwick,Prestw-295,F19,B006,0,A
CBP-0017425-03,P3_Prestwick,Prestw-240,P15,B006,0,A
CBP-0017429-03,P3_Prestwick,Prestw-827,M08,B008,0,A
CBP-0017432-04,P3_Prestwick,Prestw-109,J07,B006,0,A
CBP-0017433-03,P3_Prestwick,Prestw-399,N03,B007,0,A
CBP-0017435-03,P3_Prestwick,Prestw-239,N15,B006,0,A
CBP-0017441-03,P3_Prestwick,Prestw-209,A14,B006,0,A
CBP-0017445-03,P3_Prestwick,Prestw-1060,G01,B009,0,A
CBP-0017449-04,P3_Prestwick,Prestw-980,G18,B008,0,A
CBP-0017455-04,P3_Prestwick,Prestw-337,A22,B006,0,A
CBP-0017457-03,P3_Prestwick,Prestw-199,F13,B006,0,A
CBP-0017458-04,P3_Prestwick,Prestw-326,D21,B006,0,A
CBP-0017463-03,P3_Prestwick,Prestw-1322,E14,B007,0,A
CBP-0017464-03,P3_Prestwick,Prestw-1499,G16,B007,0,A
